query,cand,accepted,rx,ry,rth
50,20,False,,,
50,19,False,,,
55,24,False,,,
55,23,False,,,
60,21,False,,,
60,19,False,,,
65,19,True,0.6147,-2.5032,2.63229
65,18,True,0.8234,-2.5034,2.6071
70,19,True,0.1954,-1.6001,1.48746
70,18,True,0.3951,-1.5864,1.44452
75,19,True,0.3981,-2.4999,2.43708
75,18,True,0.5956,-2.3104,2.41651
80,50,True,1.1059,-1.5346,-1.51599
80,49,True,1.3216,-1.5541,-1.54573
85,55,True,-0.0213,0.096,-0.24916
85,54,True,0.1085,0.0955,-0.46188
90,53,True,-0.0291,0.1085,-1.2438
90,52,True,0.1197,0.0859,-1.4994
95,51,True,-0.0602,-0.2295,-2.93625
95,50,True,0.2113,-0.2157,-2.95732
100,48,True,-0.089,0.0066,3.12734
100,47,True,0.1864,0.0139,3.0369
105,44,True,0.0969,0.0356,2.57258
105,45,True,-0.1567,0.0364,2.73499
110,40,True,0.6903,0.4279,1.02218
110,42,True,0.2546,0.9099,1.3556
115,40,True,1.0315,1.3829,1.68688
115,38,True,1.1595,1.4342,1.66577
120,40,True,1.2065,0.9874,1.54401
120,38,True,1.3255,1.0256,1.52211
125,40,False,,,
125,38,False,,,
130,40,False,,,
130,38,False,,,
180,150,False,,,
180,149,False,,,
185,155,True,0.1571,1.8035,1.32354
185,154,True,0.5845,1.7649,1.23125
190,156,True,-0.0829,3.118,1.18827
190,155,True,0.7216,3.0727,1.01989
205,175,False,,,
205,174,False,,,
210,180,False,,,
210,176,False,,,
215,185,True,2.6219,-1.7736,-1.72837
215,184,True,2.2879,-2.319,-1.94609
220,190,True,1.6413,-0.2997,-0.96608
220,189,True,1.9105,-0.2995,-0.97781
225,195,True,0.3831,-0.4071,-0.61231
225,194,True,0.5878,-0.272,-0.39818
230,197,True,0.594,-1.7689,-1.10023
230,198,False,,,
235,204,False,,,
235,203,False,,,
280,250,False,,,
280,249,False,,,
285,254,False,,,
285,255,False,,,
290,253,False,,,
290,254,False,,,
295,252,True,0.9326,-1.7634,2.80139
295,253,True,0.2302,-1.9532,2.5385
300,252,True,0.579,-1.0484,1.55777
300,253,True,0.0711,-1.1706,1.29507
305,255,False,,,
305,256,True,0.0848,-0.5503,0.19445
310,259,True,-0.0282,-0.5695,0.0829
310,258,True,0.1104,-0.549,-0.14676
315,266,True,-0.0869,-0.1232,0.09007
315,265,True,0.2213,-0.0805,0.13277
320,272,True,-0.1179,0.0171,0.20772
320,271,True,0.0262,0.0279,-0.02201
325,274,True,0.0288,-0.1744,-0.55967
325,275,True,-0.2403,-0.1927,-0.43164
330,282,True,-0.0571,-0.3994,-0.19926
330,281,True,0.171,-0.3717,0.00981
335,304,True,0.0422,-0.27,2.08029
335,305,True,-0.2621,-0.2907,2.0053
340,251,True,0.0068,0.0072,-3.07434
340,252,True,-0.2614,-0.0012,3.0799
345,248,True,0.0075,-0.1202,-2.88622
345,247,True,0.2517,-0.0948,-2.76348
350,243,False,,,
350,242,True,0.4014,-0.0969,-2.84105
355,236,True,0.2744,-0.0461,2.33893
355,237,True,0.025,-0.0178,2.36393
360,234,True,-0.0758,0.1003,-2.99177
360,233,True,0.2129,0.0991,-3.00274
365,229,True,-0.2664,0.0109,2.97689
365,230,True,-0.5414,-0.0085,2.9901
370,201,True,-0.0789,-0.2842,0.19013
370,202,True,0.0898,-0.2665,0.42185
375,204,True,0.0908,0.0464,-0.09521
375,203,True,-0.1618,-0.0317,-0.29438
380,207,True,-0.0318,-0.0781,-0.39923
380,223,True,-0.0258,-0.1183,0.03625
385,219,True,-0.0957,-0.0358,-0.11556
385,220,True,0.177,-0.0179,-0.25982
390,218,True,-0.0101,0.0088,-0.3895
390,214,True,0.0001,0.1512,-0.61276
395,227,True,-0.126,-0.1934,-1.26428
395,226,True,0.1297,-0.1717,-1.44144
400,226,True,-0.089,0.1174,-1.92779
400,225,True,0.1643,0.1376,-1.86918
405,211,True,-0.0977,-0.0502,-2.25984
405,210,True,-0.022,-0.0409,-2.4741
410,190,True,-0.3428,-0.1793,-3.12392
410,379,True,-1.2508,-0.1675,-3.13768
415,185,True,-0.2713,-0.2427,-2.97971
415,188,True,-0.9164,-0.405,-2.69236
420,156,True,0.6867,0.8099,-0.30656
420,183,True,-0.9172,-0.7326,-2.24129
425,156,True,1.054,0.343,-1.53073
425,155,True,1.3968,0.1754,-1.72702
430,156,True,0.6711,-0.0979,-2.78696
