query,cand,accepted,rx,ry,rth
35,1,False,,,
35,2,False,,,
50,20,False,,,
50,19,False,,,
55,24,True,-0.8469,-2.8356,-2.75137
55,23,True,-0.623,-2.7128,-2.7791
60,18,True,1.6533,-2.5162,3.03319
60,17,True,1.9115,-2.5233,3.02584
65,19,True,0.9471,-2.4455,2.78182
65,18,True,1.2445,-2.4223,2.78701
70,18,True,0.7251,-1.5069,1.62424
70,19,True,0.4877,-1.5112,1.65114
75,19,False,,,
75,18,False,,,
80,50,True,1.0705,-1.4541,-1.48542
80,49,True,1.2952,-1.4658,-1.50873
85,55,True,-0.0054,0.1348,-0.27582
85,54,True,0.1478,0.1105,-0.49001
90,52,True,0.1589,0.0738,-1.52778
90,53,True,0.0325,0.1155,-1.28615
95,51,True,-0.0036,-0.2717,-2.94973
95,52,True,-0.0938,-0.2844,-2.7126
100,48,True,-0.0667,-0.0281,3.1313
100,47,True,0.2112,-0.0275,3.04301
105,45,True,-0.2141,-0.0705,2.70936
105,44,True,0.0362,-0.0623,2.54566
110,40,True,0.6229,0.2508,0.99858
110,42,True,0.2349,0.7267,1.33942
115,40,False,,,
115,38,False,,,
120,40,False,,,
120,38,False,,,
125,40,False,,,
125,38,False,,,
130,40,False,,,
130,38,False,,,
180,150,False,,,
180,149,False,,,
185,155,False,,,
185,154,False,,,
190,156,False,,,
190,155,False,,,
195,156,False,,,
195,155,False,,,
205,175,False,,,
205,174,False,,,
210,180,False,,,
210,176,False,,,
215,185,False,,,
215,176,False,,,
220,190,False,,,
220,189,False,,,
225,195,True,0.2805,-0.3612,-0.61395
225,194,True,0.4752,-0.2431,-0.39714
230,197,False,,,
230,198,False,,,
235,204,False,,,
235,203,False,,,
240,204,False,,,
240,203,False,,,
280,250,False,,,
280,249,False,,,
285,254,False,,,
285,255,False,,,
290,253,False,,,
290,254,False,,,
295,252,False,,,
295,253,False,,,
300,251,True,0.8365,-0.9607,1.65402
300,250,True,1.1213,-0.9194,1.68732
305,255,False,,,
305,256,False,,,
310,258,False,,,
310,257,False,,,
315,266,True,-0.2438,-0.178,0.17392
315,265,True,0.0592,-0.1453,0.21891
320,271,True,0.0309,-0.1089,0.05001
320,272,True,-0.085,-0.1179,0.26966
325,275,True,-0.1868,-0.2554,-0.3878
325,274,True,0.0566,-0.2477,-0.51688
330,282,True,0.001,-0.4032,-0.18266
330,281,True,0.268,-0.3551,0.02025
335,304,True,0.2382,-0.2609,2.03787
335,305,True,-0.0626,-0.3035,1.95895
340,251,True,0.0468,-0.0365,3.13776
340,250,True,0.3071,-0.02,-3.1139
345,248,True,0.1089,-0.0783,-2.91724
345,247,True,0.3712,-0.0456,-2.80205
350,243,True,0.1135,-0.146,-3.01624
350,242,True,0.4015,-0.085,-2.84034
355,237,True,0.009,-0.0054,2.33701
355,238,True,-0.2012,0.0483,2.52489
360,234,True,-0.1993,0.2265,-3.01528
360,233,True,0.0841,0.2329,-3.02764
365,229,True,-0.4013,0.116,3.00581
365,228,True,-0.1106,0.113,2.97728
370,201,True,-0.0576,-0.1267,0.19756
370,202,True,0.0777,-0.1132,0.43166
375,204,True,0.0768,0.0779,-0.09892
375,203,True,-0.1639,0.0108,-0.30091
380,207,True,-0.1034,-0.035,-0.44157
380,209,True,-0.0562,0.0476,0.04062
385,219,True,-0.0603,-0.0229,-0.14049
385,213,True,-0.0753,0.1655,-0.22683
390,218,True,0.013,-0.0769,-0.41349
390,214,True,-0.0149,0.019,-0.64237
395,227,True,-0.1778,-0.0884,-1.26176
395,226,True,0.0865,-0.0669,-1.4411
400,226,True,-0.1524,0.2298,-1.91992
400,225,True,0.0951,0.2348,-1.86422
405,211,True,-0.1197,-0.0773,-2.28719
405,210,True,-0.0459,-0.059,-2.49799
410,189,True,-0.0445,-0.0998,-3.10017
410,188,True,0.2214,-0.0658,-3.10277
415,183,True,0.0696,-0.2156,2.87288
415,184,True,-0.136,-0.2523,3.0984
420,178,True,-0.1691,0.0106,2.88764
420,179,True,-0.4342,-0.0841,3.09909
425,159,True,0.0948,0.5746,-1.00495
425,160,True,-0.1403,0.5542,-1.03061
430,159,True,-0.0311,-0.016,-2.28691
430,158,True,0.2243,-0.0267,-2.42133
435,154,True,0.1007,-0.1418,2.80656
435,153,True,0.2255,-0.1886,2.59447
440,150,True,-0.0849,-0.0465,2.97114
440,149,True,0.1913,-0.0568,2.72102
445,145,True,0.0001,-0.0106,-3.13144
445,146,True,-0.2626,-0.022,-3.1057
450,140,True,-0.0525,-0.0181,3.07598
450,141,True,-0.3463,-0.0272,3.10582
455,129,False,,,
455,128,False,,,
460,124,True,-0.2394,0.0109,2.7605
460,123,True,0.0188,0.0836,2.47345
465,123,True,-0.1977,0.2055,1.66145
465,122,True,0.118,0.2197,1.4988
470,122,True,-0.0348,-0.1086,2.67301
470,123,True,-0.2945,-0.1452,2.83533
475,110,True,-0.2629,-0.4165,-2.75965
475,111,True,-0.4872,-0.4474,-2.66187
480,47,True,0.2136,0.3486,0.00589
480,100,True,0.0105,-0.3601,-3.0304
485,87,True,0.0101,0.0683,0.41878
485,88,True,-0.0534,0.0595,0.6672
490,58,True,0.1099,0.1422,-0.10332
490,83,True,0.2387,0.0677,-0.22457
495,63,True,-0.0206,0.1015,-0.42306
495,64,True,-0.116,0.109,-0.18802
500,63,True,-0.0829,0.2285,-0.17863
500,78,True,-0.0919,0.0253,-0.23361
505,58,True,0.2405,0.087,0.13646
505,82,True,0.0801,-0.0177,0.08863
510,89,True,0.0819,0.1578,-0.37224
510,88,True,0.2148,0.1041,-0.59247
515,51,True,0.1142,0.0373,-3.03617
515,52,True,-0.0484,0.0497,-2.80209
520,46,True,0.156,-0.1418,-3.11012
520,103,True,-0.19,-0.0357,0.01141
525,41,True,0.016,-0.0684,1.96725
525,42,True,-0.0945,-0.0575,2.182
530,40,True,0.1084,-0.0776,0.65937
530,38,True,0.2027,-0.0152,0.62673
535,30,False,,,
535,28,False,,,
540,20,True,-0.3887,0.0165,0.27491
540,19,True,-0.135,0.2039,0.27556
545,15,True,-0.3024,0.0103,-0.01761
545,9,True,-0.1212,-0.0532,-0.03423
550,13,True,-0.1244,0.023,-0.02596
550,14,False,,,
555,13,True,-0.1326,0.035,-0.02598
555,14,True,-0.1352,0.033,-0.02108
